id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
2036;0.99;0;Sunday;84615;57539.94;1935.6;gotbaseballcards;117607;1;0;jeff conine-2006-0;9
2037;27.53;0;Friday;#N/A;58346.65;1817.62;johwrigh160;372;0;1;aaron judge-2017-0;9
2038;76;1;Friday;76358;55888.13;1960.16;reyes30sports;2176;0;0;charles barkley-1987-1;8
2039;21;1;Wednesday;67196;50538.24;1575.85;jcsc333;784;1;0;michael jordan-1994-1;9
2040;18.5;1;Saturday;70600;47105.52;1814.11;kidkile;564;0;0;pat cummings-1986-1;8
2041;93;0;Wednesday;101089;56008.55;1799.17;brbas-4728;437;0;0;frank thomas-1990-0;10
2042;75;0;Tuesday;109699;56804.9;1806.97;bakendave;102273;0;1;mike trout-2012-0;9
2043;1450;1;Sunday;#N/A;35791.28;1230.17;ch_5757449;57;0;1;lebron james-2003-1;9
2044;167.36;0;Sunday;68158;32289.38;1391.61;gmcards2;23847;0;0;early wynn-1952-0;8
2045;50;0;Sunday;73919;38903.44;1614.23;cubma-84;114;0;0;roger clemens-1985-0;9
2046;515;1;Tuesday;#N/A;54738.94;1678.65;thedukecards;476;1;1;zion williamson-2019-1;10
2047;52;0;Thursday;89985;51679.8;1937.45;probstein123;827717;0;0;tony oliva-1971-0;8
2048;7.99;0;Saturday;89218;46188.45;1459.97;dandd_93;396;1;0;ken griffey-1999-0;9
2049;23.96;0;Wednesday;110923;58870.89;1823.45;bakendave;102275;1;1;shohei ohtani-2018-0;10
2050;399;1;Wednesday;68673;56008.55;1799.17;dcuncw2355;502;1;0;kobe bryant-1996-1;10
2051;1.25;0;Sunday;#N/A;57523.42;1788.22;wrigleynivy;2030;0;0;don padgett-1950-0;6
2052;39.99;1;Friday;67093;48927.3;1533.27;rihule0;434;0;0;michael jordan-1995-1;9
2053;69.5;1;Sunday;56886;32289.38;1391.61;lcmcollectibles;3744;1;1;tyler herro-2019-1;10
2054;152.5;1;Sunday;64844;38903.44;1614.23;stylesboyscards;190;0;1;ja morant-2019-1;10
2055;129.99;1;Tuesday;66789;46481.1;1768.04;cmcollegefund;1338;1;0;kobe bryant-2006-1;8
2056;24.5;0;Tuesday;109699;56804.9;1806.97;pwcc_auctions;277897;0;0;greg maddux-1987-0;9
2057;30;1;Sunday;56886;32289.38;1391.61;burbanksportscards;349063;1;1;ja morant-2019-1;8
2058;425;1;Saturday;70600;47105.52;1814.11;yager320;1369;1;1;deandre ayton-2018-1;10
2059;124.99;1;Friday;69496;47504.85;1843.53;xxdougyxx;1434;1;1;josh jackson-2017-1;9.5
2060;150;0;Sunday;#N/A;57523.42;1788.22;kywata-27;236;1;1;vladimir guerrero-2019-0;9
2061;19.95;0;Thursday;#N/A;39187.33;1218.45;anthjos;25527;1;0;nolan ryan-1977-0;8
2062;10.5;1;Tuesday;67133;54824.12;1868.05;square-6;9;0;1;lebron james-2021-1;#N/A
2063;29.99;1;Monday;69723;47945.06;1779.79;naypriz_collectibles;1373;0;0;michael jordan-1992-1;8
2064;2;0;Monday;#N/A;54529.15;1691.33;szejj;19134;1;0;walter johnson-1973-0;3
